ticker,date,time,price,volume
ORANGEPL,191024,144957,5.9,140
ORANGEPL,191024,145014,5.9,279
ORANGEPL,191024,145050,5.9,140
ORANGEPL,191024,145050,5.9,279
ORANGEPL,191024,145059,5.9,140
ORANGEPL,191024,145100,5.9,2202
ORANGEPL,191024,145100,5.9,549
ORANGEPL,191024,145113,5.9,1496
ORANGEPL,191024,145114,5.9,140
ORANGEPL,191024,145114,5.9,279
ORANGEPL,191024,145145,5.9,140
ORANGEPL,191024,145208,5.9,280
ORANGEPL,191024,145249,5.9,140
ORANGEPL,191024,145320,5.9,140
ORANGEPL,191024,145320,5.9,139
ORANGEPL,191024,145339,5.9,140
ORANGEPL,191024,145403,5.9,140
ORANGEPL,191024,145403,5.9,140
ORANGEPL,191024,145422,5.9,140
ORANGEPL,191024,145425,5.9,139
ORANGEPL,191024,145425,5.9,140
ORANGEPL,191024,145448,5.9,140
ORANGEPL,191024,145511,5.9,140
ORANGEPL,191024,145523,5.9,280
ORANGEPL,191024,145523,5.9,590
ORANGEPL,191024,145523,5.9,143
ORANGEPL,191024,145556,5.9,139
ORANGEPL,191024,145605,5.9,393
ORANGEPL,191024,145605,5.9,1197
ORANGEPL,191024,145614,5.9,1616
ORANGEPL,191024,145642,5.895,140
ORANGEPL,191024,145642,5.895,120
ORANGEPL,191024,145731,5.895,616
ORANGEPL,191024,145731,5.895,394
ORANGEPL,191024,145731,5.895,366
ORANGEPL,191024,145731,5.895,17
ORANGEPL,191024,145731,5.9,219
ORANGEPL,191024,145802,5.9,1307
ORANGEPL,191024,145817,5.9,140
ORANGEPL,191024,150029,5.905,419
ORANGEPL,191024,150029,5.91,33
ORANGEPL,191024,150246,5.9,314
ORANGEPL,191024,150304,5.9,3726
ORANGEPL,191024,150304,5.9,140
ORANGEPL,191024,150322,5.9,314
ORANGEPL,191024,150322,5.9,703
ORANGEPL,191024,150322,5.9,1010
ORANGEPL,191024,150442,5.89,140
ORANGEPL,191024,150450,5.89,699
ORANGEPL,191024,150459,5.895,140
ORANGEPL,191024,150505,5.895,280
ORANGEPL,191024,150505,5.9,769
ORANGEPL,191024,150505,5.9,29
ORANGEPL,191024,150505,5.9,735
ORANGEPL,191024,150511,5.895,139
ORANGEPL,191024,150552,5.9,349
ORANGEPL,191024,150553,5.905,93
ORANGEPL,191024,150553,5.905,975
ORANGEPL,191024,150705,5.905,280
ORANGEPL,191024,150705,5.91,135
ORANGEPL,191024,150705,5.91,57
ORANGEPL,191024,150705,5.91,975
ORANGEPL,191024,150705,5.92,1076
ORANGEPL,191024,150705,5.92,2491
ORANGEPL,191024,150745,5.91,219
ORANGEPL,191024,150745,5.905,699
ORANGEPL,191024,150745,5.905,732
ORANGEPL,191024,150745,5.905,219
ORANGEPL,191024,150745,5.905,401
ORANGEPL,191024,150753,5.9,699
ORANGEPL,191024,150947,5.9,140
ORANGEPL,191024,150948,5.905,1957
ORANGEPL,191024,150948,5.905,133
ORANGEPL,191024,150948,5.91,68
ORANGEPL,191024,150948,5.91,136
ORANGEPL,191024,150948,5.91,16
ORANGEPL,191024,150948,5.91,16
ORANGEPL,191024,150948,5.91,979
ORANGEPL,191024,151000,5.92,719
ORANGEPL,191024,151000,5.92,1281
ORANGEPL,191024,151027,5.915,429
ORANGEPL,191024,151028,5.92,1119
ORANGEPL,191024,151028,5.92,419
ORANGEPL,191024,151418,5.915,140
ORANGEPL,191024,151418,5.915,782
ORANGEPL,191024,151418,5.915,978
ORANGEPL,191024,151418,5.92,219
ORANGEPL,191024,151418,5.92,1613
ORANGEPL,191024,151418,5.925,318
ORANGEPL,191024,151550,5.905,488
ORANGEPL,191024,151550,5.905,699
ORANGEPL,191024,151600,5.905,140
ORANGEPL,191024,151657,5.905,140
ORANGEPL,191024,151705,5.905,140
ORANGEPL,191024,151710,5.905,140
ORANGEPL,191024,151713,5.905,139
ORANGEPL,191024,151717,5.905,140
ORANGEPL,191024,151739,5.905,140
ORANGEPL,191024,151747,5.905,140
ORANGEPL,191024,151752,5.905,140
ORANGEPL,191024,151806,5.905,139
ORANGEPL,191024,151824,5.905,280
ORANGEPL,191024,151910,5.905,45
ORANGEPL,191024,151910,5.905,95
ORANGEPL,191024,152030,5.905,140
ORANGEPL,191024,152133,5.905,140
ORANGEPL,191024,152258,5.905,139
ORANGEPL,191024,152327,5.905,140
ORANGEPL,191024,152435,5.905,140
ORANGEPL,191024,152442,5.905,99
ORANGEPL,191024,152442,5.905,181
ORANGEPL,191024,152443,5.91,1818
ORANGEPL,191024,152443,5.91,182
ORANGEPL,191024,152443,5.91,37
ORANGEPL,191024,152443,5.91,748
ORANGEPL,191024,152443,5.91,2472
ORANGEPL,191024,152443,5.91,985
ORANGEPL,191024,152515,5.905,279
ORANGEPL,191024,152528,5.91,414
ORANGEPL,191024,152528,5.91,1023
ORANGEPL,191024,152528,5.91,733
ORANGEPL,191024,152528,5.91,804
ORANGEPL,191024,152528,5.91,2514
ORANGEPL,191024,152529,5.92,770
ORANGEPL,191024,152529,5.92,1613
ORANGEPL,191024,152532,5.925,32
ORANGEPL,191024,152532,5.925,280
ORANGEPL,191024,152600,5.93,500
ORANGEPL,191024,152600,5.93,486
ORANGEPL,191024,152643,5.925,963
ORANGEPL,191024,152657,5.925,559
ORANGEPL,191024,152657,5.925,1244
ORANGEPL,191024,152659,5.93,2000
ORANGEPL,191024,152802,5.915,280
ORANGEPL,191024,152830,5.92,748
ORANGEPL,191024,152830,5.92,52
ORANGEPL,191024,152830,5.92,926
ORANGEPL,191024,152830,5.92,979
ORANGEPL,191024,152919,5.93,710
ORANGEPL,191024,153141,5.94,226
ORANGEPL,191024,153141,5.94,699
ORANGEPL,191024,153141,5.94,699
ORANGEPL,191024,153141,5.945,699
ORANGEPL,191024,153142,5.94,683
ORANGEPL,191024,153144,5.94,280
ORANGEPL,191024,153144,5.935,839
ORANGEPL,191024,153315,5.935,699
ORANGEPL,191024,153446,5.935,34
ORANGEPL,191024,153446,5.935,106
ORANGEPL,191024,153452,5.935,5576
ORANGEPL,191024,153452,5.935,2624
ORANGEPL,191024,153452,5.935,1000
ORANGEPL,191024,153452,5.935,1000
ORANGEPL,191024,153452,5.935,979
ORANGEPL,191024,153452,5.935,638
ORANGEPL,191024,153452,5.935,343
ORANGEPL,191024,153452,5.93,763
ORANGEPL,191024,153457,5.935,40
ORANGEPL,191024,153457,5.935,1638
ORANGEPL,191024,153457,5.935,746
ORANGEPL,191024,153457,5.935,576
ORANGEPL,191024,153459,5.935,187
ORANGEPL,191024,153500,5.94,19
ORANGEPL,191024,153615,5.935,1070
ORANGEPL,191024,153615,5.935,329
ORANGEPL,191024,153615,5.945,559
ORANGEPL,191024,153641,5.935,978
ORANGEPL,191024,153708,5.935,88
ORANGEPL,191024,153708,5.93,611
ORANGEPL,191024,153708,5.93,559
ORANGEPL,191024,153821,5.935,1443
ORANGEPL,191024,153853,5.93,559
ORANGEPL,191024,153853,5.935,95
ORANGEPL,191024,153853,5.935,1398
ORANGEPL,191024,153853,5.93,623
ORANGEPL,191024,153919,5.93,280
ORANGEPL,191024,153920,5.93,280
ORANGEPL,191024,153928,5.93,419
ORANGEPL,191024,153941,5.93,140
ORANGEPL,191024,153941,5.93,140
ORANGEPL,191024,153941,5.93,800
ORANGEPL,191024,153941,5.93,1628
ORANGEPL,191024,153941,5.93,2632
ORANGEPL,191024,153941,5.93,6295
ORANGEPL,191024,153941,5.925,979
ORANGEPL,191024,153941,5.925,10
ORANGEPL,191024,153941,5.925,1134
ORANGEPL,191024,153942,5.915,1613
ORANGEPL,191024,153942,5.915,510
ORANGEPL,191024,153942,5.915,51
ORANGEPL,191024,154001,5.915,546
ORANGEPL,191024,154001,5.915,51
ORANGEPL,191024,154001,5.915,140
ORANGEPL,191024,154029,5.915,800
ORANGEPL,191024,154029,5.91,760
ORANGEPL,191024,154137,5.925,279
ORANGEPL,191024,154140,5.93,521
ORANGEPL,191024,154153,5.93,2151
ORANGEPL,191024,154200,5.935,2151
ORANGEPL,191024,154200,5.935,790
ORANGEPL,191024,154208,5.935,810
ORANGEPL,191024,154208,5.935,2151
ORANGEPL,191024,154211,5.935,280
ORANGEPL,191024,154316,5.93,279
ORANGEPL,191024,154316,5.93,140
ORANGEPL,191024,154316,5.93,381
ORANGEPL,191024,154316,5.93,598
ORANGEPL,191024,154316,5.93,202
ORANGEPL,191024,154319,5.92,497
ORANGEPL,191024,154322,5.92,773
ORANGEPL,191024,154405,5.925,800
ORANGEPL,191024,154439,5.925,172
ORANGEPL,191024,154548,5.93,280
ORANGEPL,191024,154548,5.93,515
ORANGEPL,191024,154608,5.93,5
ORANGEPL,191024,154608,5.93,694
ORANGEPL,191024,154609,5.93,367
